Con,Contp,PP,PPName,Reg,AgtId,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeLgbti,GeLgbtiPos,GeLgbtiNeg,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,PolParTrans,PolParOth,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsFis,EpsOth,Mps,MpsMe,MpsJt,MpsPro,MpsOth,HrGen,EqGen,HrDem,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,DevSoc,DevHum,DevInfra,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjAmBan,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),2012-07-08,Multiparty signed/agreed,14,39746,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: The Afghan Government and the International Community (representatives from 55 countries and 25 international and other organizations from around the world) ","Ambassador Kazuo Kodama, Chargé d’affaires ad interim Permanent Mission of Japan to the United Nations
","Page 2, Preamble, 1
...
These undertakings are built on the  outcome of the  Bonn Conference in December 2011, where the Afghan Government and the International Community mutually renewed their long-term commitments in the areas of governance, security, peace process, economic and social development, and regional cooperation, as well as on the outcomes of the previous international conferences such as the London Conference in January 2010 and the Kabul Conference in July 2010. 

Page 3, Preamble, 4
...
Today in Tokyo, the Afghan Government and the International Community succeeded in transforming their mutual commitments made in Bonn to cooperate throughout the Transformation Decade into a solid and credible framework focused on the priorities of the Afghan Government as contained in its strategy paper Towards Self-Reliance. 

Page 4, Security and Peace Process, 9
...
The Participants reaffirmed the importance of the peace and reconciliation process with a view to ending the ongoing violence in the country and restoring lasting peace and security as per the UN Security Council Resolutions and as stated in the London and Kabul Communiqués, and reconfirmed in the Bonn Conclusions. 

Page 5, Governance and Strategy for Economic Self-Reliance, 14
...
The International Community welcomed the Afghan strategy, and reaffirmed its commitment of aligning 80 percent of aid with the NPPs and channeling at least 50 percent of its development assistance through the national budget of the Afghan Government in accordance with the London and Kabul Communiqués. 

Page 7, Regional Cooperation, 19
...
The Participants welcomed the conclusion of the Afghanistan-Pakistan Transit Trade Agreement (APTTA), the transit agreement between Afghanistan and Tajikistan, and the Agreement on Cross-Border Transport of Persons, Vehicles, and Goods (CBTA) among Afghanistan, the Kyrgyz Republic and Tajikistan within the framework of CAREC.

Page 9, Tokyo Mutual Accountability Framework, 2
...
this accountability framework concretizes the mutual commitments decided in the Kabul Process and reaffirmed at the Bonn Conference by stipulating shared development and governance goals and a mechanism as described in this document to hold parties accountable for achieving them. ",AFG,,700,,333,NA,NA,225,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,848,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),2011-12-05,Multiparty signed/agreed,7,24106,InterIntra,Pre,Prin,"Not signed, agreement mentions the following parties as having produced it: Islamic Republic of Afghanistan, the Republic of Albania, the People’s Democratic Republic of Algeria, the Argentine Republic, the Republic of Armenia, Australia, the Republic of Austria, the Republic of Azerbaijan, the Kingdom of Bahrain, the People’s Republic of Bangladesh, the Kingdom of Belgium, Bosnia and Herzegovina, Federative Republic of Brazil, Brunei Darussalam, the Republic of Bulgaria, Canada, the People’s Republic of China, the Republic of Colombia,  the  Republic  of  Croatia,  the  Republic of  Cyprus, the  Czech Republic, the Kingdom of Denmark, the Arab Republic of Egypt, the Republic of El Salvador, the Republic of Estonia, the Republic of Finland, the French Republic, Georgia, the Federal Republic of Germany, the Hellenic Republic, the Republic of Hungary, the Republic of Iceland, the Republic of India, the Republic of Indonesia, the Islamic Republic of Iran, the Republic of Iraq, Ireland, the Republic of Italy, Japan, the Hashemite Kingdom of Jordan, the Republic of Kazakhstan, the Republic of Korea, the State of Kuwait, the Kyrgyz Republic, the Republic of Latvia, the Lebanese Republic, the Principality of Liechtenstein, the Republic of Lithuania, the Grand Duchy of Luxembourg, the former Yugoslav Republic of Macedonia, Malaysia, the Republic of Malta, the United Mexican States, Mongolia, Montenegro, the Kingdom of Morocco, the Kingdom of the Netherlands, New Zealand, the Kingdom of Norway, the Sultanate of Oman, the Republic of the Philippines, the Republic of Poland, the Portuguese Republic, the State of Qatar, Romania, the Russian Federation, the Kingdom of Saudi Arabia, the Slovak Republic, the Republic of Slovenia, the Republic of South Africa, the Kingdom of Spain, the Kingdom of Sweden, the Swiss Confederation, the Republic of Tajikistan, the Kingdom of Thailand, the Republic of Tunisia, the Republic of Turkey, Turkmenistan, Ukraine, the Oriental Republic of Uruguay, the United Kingdom of Great Britain and Northern Ireland, the United Arab Emirates, the United States of America, the Republic of Uzbekistan, and the Socialist Republic of Viet Nam, as well as the Aga Khan Development Network, the Asian Development Bank, the Conference on Interaction and Confidence‐Building Measures in Asia, the Collective Security Treaty Organisation, the Economic Cooperation Organization, the European Union, the International Monetary Fund, the Islamic Development Bank, the North Atlantic Treaty Organization, the Organisation of the Islamic Cooperation, the Organization for Security and Co‐operation in Europe, the South Asian Association for Regional Cooperation, the Shanghai Cooperation Organisation, the United Nations, and the World Bank Group.",,"Page 1, 5
...
Reaffirming our commitments as set out in the 2010 London Communiqué and the Kabul Process, this  renewed partnership between Afghanistan and the International Community entails firm mutual commitments in the areas of governance, security, the peace process, economic and social development, and regional cooperation.

Page 2, Governance, 8
...
We will move this agenda forward, in accordance with our commitments under the Kabul Process in line with the principle of mutual accountability.",AFG,,700,,333,,,225,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,849,Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan,2011-11-02,Multiparty signed/agreed,10,21299,InterIntra,Imp,ExtSub,"Not signed, agreements mentions the following parties as having produced it: the Islamic Republic of Afghanistan, the People’s Republic of China, the Republic of India, the Islamic Republic of Iran, the Republic of Kazakhstan, the Kyrgyz Republic, the Islamic Republic of Pakistan, the Russian Federation, the Kingdom of Saudi Arabia the Republic of Tajikistan, the Republic of Turkey, Turkmenistan, and the United Arab Emirates.","Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ","Page 1, 2
We affirm the commitments enshrined in the 2002 Kabul Declaration of Good Neighbourly Relations and agree that promoting regional security and cooperation requires measures to build confidence and trust among countries",AFG,,700,,333,,,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,709,Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique),2010-07-22,Multiparty signed/agreed,9,33137,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: The Government of the Islamic Republic of Afghanistan and the international community",,"Page 2, Principles of Effective Partnership, 8
...
In line with the London Conference Communiqué , restated their strong support for channeling at least 50% of development aid through the Afghan Government’s core budget within two years while, as committed at the London Conference, the Afghan Government achieves the necessary reforms to strengthen its public financial  management  systems, reduce corruption, improve budget execution, and increase revenue collection to finance key National Priority Programmes

Page 3, Governance, Rule of Law, and Human Rights, 9
...
Building on the London Conference commitments, the Government of Afghanistan, with the support of its international partners, pledged to...

Page 7, Regional Cooperation, 21
...
Participants re-affirmed their support for the objectives and principles laid out in the Kabul Declaration of 2002 on Good Neighborly Relations
...
Participants further recognized the need for greater regional coordination and extended their support to the inclusive vision set out in the Istanbul Statement on Friendship and Cooperation in the “Heart of Asia” of January 2010, which offers regionally-owned measures for enhanced regional cooperation

Page 7, Regional Cooperation, 23
Participants welcomed the conclusion of the Afghanistan-Pakistan Trade and Transit Agreement (APTTA), and look forward to its successful implementation 

Page 8, Regional Cooperation, 24
Participants underlined the importance of:
...
Integrated regional infrastructure projects, including transport; and encouraged both multilateral organisations and bilateral partners to promote such projects, including those presented in the Regional Cooperation Concept Paper submitted to the Kabul Conference",AFG,,700,,333,,,225,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,1,0,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,708,The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga,2010-06-06,Multiparty signed/agreed,4,9289,Intra,Pre,PreMix,"Not signed, agreement mentions the following parties as having produced it: The National Consultative Peace Jirga (NCPJ) participated by 1,600 delegates...including from both Houses of the Parliament, Provincial Councils, religious scholars, tribal leaders, civil society organizations, Afghan refugees residing in Iran and Pakistan  ",,,AFG,,700,,333,,,225,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,707,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique)",2010-01-28,Multiparty signed/agreed,7,27077,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: The Government of the Islamic Republic of Afghanistan and the international community. ",,"Page 1, Afghan Leadership, Regional Cooperation, International Partnership, Article 3
The international community pledged to maintain its long-term commitment to Afghanistan, as previously set out in the 2001 Bonn Agreement, in the 2002 Tokyo Conference, the 2006 Afghanistan Compact, the 2008 Paris Declaration and the 2009 The Hague Conference Declaration. The international community re-affirmed its support for the relevant UN Security Council Resolutions upholding the security, stability and prosperity of Afghanistan and in particular the role of the UN itself in achieving this goal.

Page 5, Development and governance, 24
Conference Participants committed to helping the Government of Afghanistan’s anti-corruption efforts by providing assistance to the new institutions and committed to increase the transparency and effectiveness of its own aid in line with the June 2008 Paris Conference Declaration and the United Nations Convention Against Corruption.

Page 5, Development and governance, 27
...
Conference Participants therefore welcomed:
...
the contribution to multilateral anti-narcotics efforts by the Plan of Action of the Shanghai Cooperation Organisation Members, adopted in March 2009 by the Special Conference on Afghanistan in Moscow.

Page 6, Regional cooperation/international architecture, 28
...
This regional co-operation includes reaffirming the principles of the Good Neighbourly Relations Declaration of 2002",AFG,,700,,333,,,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,1,0,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,706,Statement of the International Conference on Afghanistan (Hague Conference),2009-03-31,Multiparty signed/agreed,4,9555,InterIntra,SubPar,MultIss,"Not signed, but agreement mentions the following parties as having produced it: The Government of Afghanistan; the international community ","Not signed, but agreement mentions the conference as co-chaired by: The Foreign Minister of the Islamic Republic of Afghanistan; The Foreign Minister of the Kingdom of the Netherlands; The Special Representative of the Secretary-General for Afghanistan ","Page 1, Untitled Preamble 
...
They also pledged to improve aid effectiveness, in line with the June 2008 Paris Declaration.

Page 4, Expand Regional Cooperation
...
They reaffirmed their determination to fulfil the vision of a democratic, peaceful, pluralistic and prosperous state based on the Afghan Constitution and the principles of Islam, as set out in the Bonn Agreement of 2001, in the Afghanistan Compact of 2006 and in the Paris Declaration of 2008.",AFG,,700,,333,,,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,847,Declaration of the Special Conference on Afghanistan Convened under the Auspices of the Shanghai Cooperation Organization (Moscow Declaration),2009-03-27,Multiparty signed/agreed,3,5677,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: the Shanghai Cooperation Organization Member States (Kazakshtan, China, Kyrgyztan, Russia, Tajikistan, Uzbekistan) and the Islamic Republic of Afghanistan",,"Page 2, Paragraph 1
Were encouraged by growing dialogue between the governments of Afghanistan and Pakistan aimed at strengthening of mutual trust, as well as by the Joint Declaration on Directions of Bilateral Cooperation, signed on January 6, 2009 in Kabul ",AFG,,700,,333,,,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,705,Declaration of the International Conference in Support of Afghanistan (Paris Conference),2008-06-12,Multiparty signed/agreed,3,8807,InterIntra,Imp,ExtSub,"Not signed, agreement mentions the following parties as having produced it: The Government of the Islamic Republic of Afghanistan and the international community","Not signed, agreement mentions the following parties as having chaired: The Secretary-General of the United Nations ","Page 1, Paragraph 2
...
We reaffirm that the Afghanistan Compact remains the agreed basis for our work. 

Page 1, Paragraph 3
We welcome the Review of the Afghanistan Compact prepared by the Joint Coordination and Monitoring Board co-chairs, which underlines the significant progress that has been made, most notably in health and education, in infrastructure and economic growth, as well as in building stronger Afghan national security forces. 

Page 3, Paragraph 7
...
We have reaffirmed our determination to fulfill the vision of a democratic, peaceful, pluralistic, and prosperous state based on the principles of Islam, as set out in the Bonn Agreement in 2001 and in the Afghanistan Compact of 2006.",AFG,,700,,333,,,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Afghanistan,Government,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1069,Rome Conference on Justice and Rule of Law in Afghanistan,2007-07-03,Multiparty signed/agreed,1,3231,InterIntra,Imp,ImpMod,"Not signed, agreement mentions the following parties as having produced it: the Government of Afghanistan, the Government of Italy and the United Nations co-hosted a Ministerial level International Conference on the Rule of Law  in Afghanistan.",,"Page 1, Paragraph 3
Within the framework of the Afghanistan Compact, the vision of “Justice for all” and the Afghanistan National Development Strategy, the Government has committed itself to finalize a national justice sector strategy and to implement a comprehensive rule of law reform  with the assistance of the international community that has pledged significant support.

Page 1, Paragraph 7
Finally, the Conference agreed on the next steps as foreseen by the Conference Joint Recommendations, including the elaboration, by October 2007, of a Justice Sector Strategy followed by the National Justice Program supported by an implementation plan by the Government and donors to be developed within the ANDS process that will be presented in a meeting in Kabul, in order to link the programs with the commitments expressed and the recommendations adopted in Rome. ",AFG,,700,,333,,,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
